ene,k
81.1437,7344146.
81.1723,7405532.
81.2009,7479183.
81.2294,7553794.
81.258,7618572.
81.2866,7675561.
81.3152,7740490.
81.3438,7805770.
81.3724,7870798.
81.401,7944496.
81.4296,8020330.
81.4582,8086921.
81.4868,8146243.
81.5154,8210623.
81.544,8276267.
81.5726,8351581.
81.6011,8444269.
81.6297,8523703.
81.6583,8583559.
81.6869,8643732.
81.7155,8710118.
81.7441,8787235.
81.7727,8870593.
81.8013,8956492.
81.8299,9025224.
81.8585,9092825.
81.8871,9171210.
81.9157,9244969.
81.9442,9321698.
81.9728,9407318.
82.0014,9490967.
82.03,9567757.
82.0586,9635445.
82.0872,9712126.
82.1158,9787462.
82.1444,9878842.
82.173,9980626.
82.2016,10061470.
82.2302,10129762.
82.2588,10204481.
82.2873,10284083.
82.3159,10373890.
82.3445,10469586.
82.3731,10561152.
82.4017,10638501.
82.4303,10720865.
82.4589,10807242.
82.4875,10891861.
82.5161,10984065.
82.5447,11083809.
82.5733,11178514.
82.6019,11260057.
82.6305,11339171.
82.659,11423564.
82.6876,11514700.
82.7162,11624561.
82.7448,11734634.
82.7734,11819924.
82.802,11900088.
82.8306,11990730.
82.8592,12083961.
82.8878,12188074.
82.9164,12295649.
82.945,12394426.
82.9736,12485542.
83.0021,12581254.
83.0307,12679778.
83.0593,12777105.
83.0879,12882974.
83.1165,12994510.
83.1451,13095954.
83.1737,13186295.
83.2023,13281246.
83.2309,13379070.
83.2595,13486880.
83.2881,13615341.
83.3167,13730752.
83.3452,13824629.
83.3738,13920181.
83.4024,14020371.
83.431,14130602.
83.4596,14251764.
83.4882,14374514.
83.5168,14483748.
83.5454,14586931.
83.574,14696394.
83.6026,14805753.
83.6312,14918248.
83.6598,15039420.
83.6883,15163216.
83.7169,15274436.
83.7455,15377098.
83.7741,15490598.
83.8027,15601888.
83.8313,15731209.
83.8599,15873526.
83.8885,15995052.
83.9171,16102683.
83.9457,16212791.
83.9743,16330482.
84.0029,16458217.
84.0315,16593803.
84.06,16728622.
84.0886,16846762.
84.1172,16964957.
84.1458,17088959.
84.1744,17213201.
84.203,17342349.
84.2316,17482824.
84.2602,17620879.
84.2888,17743025.
84.3174,17862966.
84.346,17988492.
84.3746,18117681.
84.4031,18271006.
84.4317,18425880.
84.4603,18557345.
84.4889,18679243.
84.5175,18805384.
84.5461,18940768.
84.5747,19087330.
84.6033,19238883.
84.6319,19384905.
84.6605,19516325.
84.6891,19652713.
84.7177,19794953.
84.7462,19935280.
84.7748,20084466.
84.8034,20242407.
84.832,20392433.
84.8606,20529713.
84.8892,20668058.
84.9178,20810441.
84.9464,20962051.
84.975,21135989.
85.0036,21302885.
85.0322,21443915.
85.0608,21581437.
85.0893,21724490.
85.1179,21880448.
85.1465,22046460.
85.1751,22217644.
85.2037,22376400.
85.2323,22526805.
85.2609,22683791.
85.2895,22841709.
85.3181,23000504.
85.3467,23172410.
85.3753,23345537.
85.4039,23510329.
85.4325,23663687.
85.461,23820498.
85.4896,23980223.
85.5182,24158392.
85.5468,24352306.
85.5754,24529658.
85.604,24685574.
85.6326,24840915.
85.6612,25009033.
85.6898,25186226.
85.7184,25373803.
85.747,25562520.
85.7756,25734878.
85.8041,25907774.
85.8327,26084785.
85.8613,26260251.
85.8899,26442303.
85.9185,26635401.
85.9471,26829622.
85.9757,27005822.
86.0043,27177345.
86.0329,27351696.
86.0615,27535171.
86.0901,27740859.
86.1187,27953094.
86.1472,28143197.
86.1758,28318358.
86.2044,28498598.
86.233,28690243.
86.2616,28890996.
86.2902,29101634.
86.3188,29305633.
86.3474,29496105.
86.376,29691951.
86.4046,29887418.
86.4332,30083397.
86.4618,30290538.
86.4904,30506992.
86.5189,30718524.
86.5475,30912853.
86.5761,31103819.
86.6047,31303973.
86.6333,31513401.
86.6619,31747760.
86.6905,31977014.
86.7191,32181972.
86.7477,32380497.
86.7763,32584877.
86.8049,32799996.
86.8335,33027180.
86.862,33261621.
86.8906,33484433.
86.9192,33695021.
86.9478,33912439.
86.9764,34128601.
87.005,34350093.
87.0336,34583344.
87.0622,34822482.
87.0908,35052383.
87.1194,35268013.
87.148,35487496.
87.1766,35711822.
87.2051,35952066.
87.2337,36213801.
87.2623,36459267.
87.2909,36681902.
87.3195,36904748.
87.3481,37133493.
87.3767,37374576.
87.4053,37631055.
87.4339,37888406.
87.4625,38130932.
87.4911,38367203.
87.5197,38607489.
87.5482,38850152.
87.5768,39098185.
87.6054,39359491.
87.634,39625027.
87.6626,39874590.
87.6912,40115637.
87.7198,40361489.
87.7484,40612344.
87.777,40886923.
87.8056,41174013.
87.8342,41437738.
87.8628,41681252.
87.8914,41929680.
87.9199,42188429.
87.9485,42460463.
87.9771,42743898.
88.0057,43023237.
88.0343,43288370.
88.0629,43553064.
88.0915,43821541.
88.1201,44093181.
88.1487,44370310.
88.1773,44663064.
88.2059,44952562.
88.2345,45224439.
88.263,45492729.
88.2916,45763372.
88.3202,46045542.
88.3488,46355598.
88.3774,46665947.
88.406,46950859.
88.4346,47222176.
88.4632,47497840.
88.4918,47789838.
88.5204,48093835.
88.549,48405580.
88.5776,48711094.
88.6061,49003676.
88.6347,49299090.
